experiment_number;exponent;avg_time_microseconds
0;2;3
1;4;6
2;6;6
3;8;8
4;10;8
5;12;10
6;14;11
7;16;24
8;18;23
9;20;23
10;22;32
11;24;27
12;26;28
13;28;30
14;30;35
15;32;67
16;34;89
17;36;70
18;38;71
19;40;74
20;42;81
21;44;78
22;46;83
23;48;83
24;50;87
25;52;96
26;54;96
27;56;97
28;58;119
29;60;110
30;62;113
31;64;241
32;66;234
33;68;238
34;70;242
35;72;246
36;74;253
37;76;264
38;78;268
39;80;267
40;82;274
41;84;282
42;86;287
43;88;343
44;90;301
45;92;307
46;94;315
47;96;310
48;98;317
49;100;324
50;102;335
51;104;339
52;106;358
53;108;356
54;110;365
55;112;371
56;114;380
57;116;388
58;118;398
59;120;406
60;122;417
61;124;427
62;126;437
63;128;908
64;130;900
65;132;911
66;134;932
67;136;930
68;138;943
69;140;957
70;142;979
71;144;982
72;146;1005
73;148;999
74;150;1019
75;152;1024
76;154;1037
77;156;1125
78;158;1116
79;160;1436
80;162;1073
81;164;1084
82;166;1094
83;168;1111
84;170;1293
85;172;1136
86;174;1160
87;176;1160
88;178;1170
89;180;1237
90;182;1202
91;184;1569
92;186;1232
93;188;1247
94;190;1264
95;192;1223
96;194;1237
97;196;1252
98;198;1268
99;200;1279
100;202;1299
101;204;1312
102;206;1326
103;208;1344
104;210;1363
105;212;1382
106;214;1391
107;216;1407
108;218;1425
109;220;1443
110;222;1465
111;224;1469
112;226;1485
113;228;1500
114;230;1535
115;232;1543
116;234;1556
117;236;1574
118;238;1593
119;240;1607
120;242;1635
121;244;1649
122;246;1673
123;248;1796
124;250;1714
125;252;1754
126;254;1751
127;256;3550
128;258;3549
129;260;3649
130;262;3601
131;264;3609
132;266;3776
133;268;3658
134;270;3669
135;272;3692
136;274;3747
137;276;3740
138;278;3844
139;280;3778
140;282;3822
141;284;3516
142;286;4000
143;288;3889
144;290;3980
145;292;3939
146;294;3956
147;296;3946
148;298;3991
149;300;4043
150;302;4139
151;304;4112
152;306;3767
153;308;4142
154;310;4166
155;312;4145
156;314;4257
157;316;4119
158;318;4213
159;320;4252
160;322;4287
161;324;4245
162;326;4386
163;328;4348
164;330;4366
165;332;4340
166;334;4512
167;336;4394
168;338;4253
169;340;4530
170;342;4533
171;344;4552
172;346;4540
173;348;4416
174;350;4393
175;352;4406
176;354;4657
177;356;4565
178;358;4810
179;360;4573
180;362;4821
181;364;4726
182;366;4842
183;368;4996
184;370;4875
185;372;4988
186;374;5020
187;376;5082
188;378;5093
189;380;5032
190;382;5079
191;384;4903
192;386;4874
193;388;4911
194;390;5010
195;392;5016
196;394;5108
197;396;4794
198;398;4786
199;400;5027
200;402;4813
201;404;5209
202;406;4862
203;408;5046
204;410;5265
205;412;5286
206;414;5486
207;416;5337
208;418;5387
209;420;5444
210;422;5446
211;424;5542
212;426;5583
213;428;5557
214;430;5555
215;432;5827
216;434;5760
217;436;5824
218;438;5763
219;440;5748
220;442;5820
221;444;5758
222;446;5833
223;448;5795
224;450;6170
225;452;5823
226;454;5966
227;456;5484
228;458;5732
229;460;6088
230;462;6149
231;464;6220
232;466;5795
233;468;5854
234;470;6254
235;472;6360
236;474;6082
237;476;5946
238;478;6377
239;480;6309
240;482;6500
241;484;6502
242;486;6433
243;488;6429
244;490;6728
245;492;6681
246;494;6714
247;496;6831
248;498;6814
249;500;6814
250;502;6708
251;504;6601
252;506;7031
253;508;6762
254;510;7010
255;512;14044
256;514;14209
