experiment_number;exponent;avg_time_microseconds
0;2;13
1;4;16
2;6;16
3;8;32
4;10;46
5;12;45
6;14;49
7;16;99
8;18;107
9;20;122
10;22;127
11;24;132
12;26;143
13;28;171
14;30;189
15;32;354
16;34;370
17;36;390
18;38;404
19;40;417
20;42;436
21;44;475
22;46;480
23;48;482
24;50;509
25;52;528
26;54;553
27;56;587
28;58;628
29;60;634
30;62;665
31;64;1358
32;66;1418
33;68;1422
34;70;1456
35;72;1489
36;74;1546
37;76;1564
38;78;1593
39;80;1609
40;82;1649
41;84;1692
42;86;1731
43;88;1770
44;90;1817
45;92;1859
46;94;1922
47;96;1860
48;98;1917
49;100;2105
50;102;2007
51;104;2049
52;106;2104
53;108;2192
54;110;2252
55;112;2238
56;114;2292
57;116;2655
58;118;2408
59;120;2591
60;122;2517
61;124;2617
62;126;2645
63;128;5396
64;130;5552
65;132;5529
66;134;5624
67;136;5712
68;138;5853
69;140;5845
70;142;5827
71;144;5961
72;146;6072
73;148;6244
74;150;6121
75;152;6170
76;154;6441
77;156;6382
78;158;6179
79;160;6429
80;162;6519
81;164;6334
82;166;6772
83;168;6789
84;170;6826
85;172;6835
86;174;7035
87;176;7082
88;178;7238
89;180;7253
90;182;7044
91;184;7381
92;186;7534
93;188;7518
94;190;7445
95;192;7525
96;194;7580
97;196;7633
98;198;7548
99;200;7489
100;202;7873
101;204;7956
102;206;8231
103;208;8266
104;210;8002
105;212;8401
106;214;8420
107;216;8624
108;218;8661
109;220;8695
110;222;9033
111;224;8993
112;226;8842
113;228;9202
114;230;9341
115;232;9356
116;234;9463
117;236;9681
118;238;9726
119;240;9832
120;242;9608
121;244;10089
122;246;10148
123;248;9953
124;250;10469
125;252;10570
126;254;10674
127;256;20965
128;258;21132
129;260;21538
130;262;21912
131;264;21557
132;266;21860
133;268;22421
134;270;22518
135;272;22735
136;274;23175
137;276;22805
138;278;22987
139;280;23083
140;282;23246
141;284;23302
142;286;23516
143;288;23547
144;290;23591
145;292;23696
146;294;23925
147;296;24097
148;298;23781
149;300;24378
150;302;24711
151;304;24768
152;306;24404
153;308;24741
154;310;25055
155;312;25211
156;314;25500
157;316;25248
158;318;26005
159;320;25613
160;322;25591
161;324;27299
162;326;25912
163;328;25217
164;330;26292
165;332;26551
166;334;26594
167;336;26079
168;338;26411
169;340;27934
170;342;27914
171;344;27354
172;346;27671
173;348;27937
174;350;28019
175;352;28006
176;354;28297
177;356;28247
178;358;28564
179;360;28681
180;362;28843
181;364;29109
182;366;29323
183;368;29594
184;370;29672
185;372;29761
186;374;29935
187;376;30272
188;378;30460
189;380;31204
190;382;31035
191;384;29577
192;386;29852
193;388;30257
194;390;30425
195;392;31931
