experiment_number;factor_blocks;modulus_blocks;peak_memory_bytes;total_allocations
0;1;4;1529;95
10;2;4;3271;191
20;3;4;7920;422
30;4;4;22537;896
40;5;4;34877;1138
50;6;4;48042;1356
60;7;4;64150;1597
70;8;4;81991;1821
80;9;4;103110;2072
90;10;4;124546;2278
100;11;4;147863;2485
110;12;4;175069;2724
120;13;4;203634;2951
130;14;4;234941;3176
140;15;4;267461;3401
150;16;4;305568;3659
160;17;4;341153;3863
170;18;4;380357;4087
180;19;4;420339;4286
190;20;4;469980;4571
200;21;4;510443;4751
210;22;4;560918;4986
220;23;4;610480;5211
230;24;4;667270;5472
240;25;4;716804;5655
250;26;4;775168;5887
260;27;4;834207;6116
270;28;4;894450;6335
280;29;4;964713;6603
290;30;4;1022578;6776
300;31;4;1092728;7011
310;32;4;1160698;7240
