experiment_number;a;b;mod;memory_before_bytes;memory_after_bytes;memory_diff_bytes
0;"38719238437855797365285450612853100142281537921945285997680976891655906457323881240725278";"446590840587907237611617456867533878223887597584212111578066629404279505388649329176331264";"114136928102652404337856598772097213683703260942747375871004673152819504239186804937023335";4562944;4562944;0
1;"533393020574983961624065569830167236249636619727700323922774811062565191119747050620334968";"524577046531458272530134581435667160814642976527823094768244824021807296726263640062047080";"747328113183759743891494361133572651254470019974821822910452248156911475436719388255447840";4616192;4616192;0
2;"854493755841204167816556001927214551083279674846014799665537560952875360086850522733455257";"468097775141940177743281616122147612391523132695065306175879027233053947482162701744456745";"591859814313794654065018577783888594208405676497334477120025630252372245966061157489859110";4616192;4616192;0
3;"575940364926693897415089992660081896311979978354958698136703258643723383803526009190475502";"578251854884102754035952054782298637001115126517232323532965588726453193478088529267727894";"572752857361910619806910093207112493126335912905364840426063336610801330937402135071701508";4616192;4616192;0
4;"192540609719680518998801234236077621203870101449222002314581536679711561487339199695687851";"113065149466234579943387551092516538291314392608950684403341751691451932411291958313823654";"36605194067100742654205295984641006378593759102960596042591295900548659273395060047822779";4616192;4616192;0
5;"808025072861018721919945102860062749211599382681064962633770920266570621529827091303226158";"287539019784897035833779844154298505325706381933614122046797125722769349964417077005673471";"811031697359807297297663990002877419752794308462913690604899802207594164413025581240601161";4616192;4616192;0
6;"540602666314156512781630806329554764689290539777524819972326871573988952650159083557821242";"300493354521509503904005108007642344693988712288681966163391369607070600515257652660884521";"221847327059837172005407246352213578772533446367513741299799331147782847923780320738872435";4616192;4616192;0
7;"631270843446929379083851153841852799776729308912333911726873232878187478835669517577594705";"333444709467888704611667174206129237156331036467882081211707814252113731266594793010468727";"90632741463445857621021133533941308055036028436721729806760344388609341597580858357792349";4624384;4624384;0
8;"296469815222015156576190136997278049127046849757334570121682608020635361471181133347698448";"143478049012034572059770710300131503622213462428911464840229010118800358933114433244888343";"506739262733144836803936457210630866133453999419121118282766612340188293574318957215749042";4624384;4624384;0
9;"127809681150047763827621201037546500224273734653798290496364105350313104784624106332532473";"884519834216609256191527947318333752572480558824893488366843195765702680439993877222020256";"194311526426016660122987873529880385558427768181101527868774141020042346798068086911108359";4624384;4624384;0
10;"389457118929036949241701266389371586907476029797583685736007818367051232541180763835413802";"373004267265352840532078335060538863141057370288921526679726445430663090281044716528605612";"182577895052160822586099808238376384650233744846679717435743402393388511459737343418736937";4624384;4624384;0
11;"740880985653083327554929449074182356468018066602684474840163259967078662366503326906236081";"519910990126244414440814619201680446808402044464395268104932463297408414021092587512985630";"217849434998286150216284959728505912188670437774719460763341021060219760386997453133434881";4624384;4624384;0
12;"218212101771834410498064525887423141814452296818189145974830444590626011380161491787584351";"859570410926961822213938907293092582873894593798426203711923241396996135752480818913272552";"605435528316778082892370125262896572203771141146642814178215789020511912893216870707932099";4624384;4624384;0
13;"308452620657511166904657015016265182257413443820314361673484561793502316033522821424629244";"796838965112485713984944133971242751544617728641765066273323381680223718530194614832454473";"781956242985635083736346300091482472204031628840378391951349385049448321451016153543551844";4624384;4624384;0
14;"143729253250468901199078661726682286262952629169324243458111619780579250234520174558252219";"395789456609382615507146097504228371300057848634199011728338390562216441806031313974264528";"465350027292713720375545991320024465853922423709986248687264848757702279022914275423478496";4624384;4624384;0
15;"927119873032815904378488617387616223468457936602501625483792824557140019331342684984217690";"737257086602548864150873435455131258447694175441862293622733283698664756580461389215148243";"889488779080995330467415217607316055814360074006142000157225513505090208519348056308859067";4624384;4624384;0
16;"189714571866810604855429900062687747365838738668227239700486638752543494512993190286672205";"366681487463566639183894737341721074561788446708614006696905895340266344792259685532573448";"516315709386714520739711771830121282400302558459871691562439643556567001519826139977881738";4624384;4624384;0
17;"515108357757097285678422905987357180665082707793191646401161576645522711581301791677944599";"436795192538945466074098788673209530476599127351545098764167010384589315623396593769689427";"673853750855270864249035895553514281282564578329675704114506836766124510412750369601746860";4624384;4624384;0
18;"573562963083360877435680686104456923161525085242398496654142981809991881917508722728480823";"745190482083328874096719935274351505759559634886530178048581512904780767839882711001146408";"508061781072674950688657623811739324627422745893667348088383391951408078206643009297113967";4624384;4624384;0
19;"178191373821839744852707371640742018142976044854001598062399792094277560070296859743160348";"874500954324291805927145704481576880780244162533113226980425217263857409465015708967099265";"969421268817556599846758076600366289215208432592140228561314317742670668364655699507095346";4624384;4624384;0
20;"423986911363710718165352454856342903422572769232460440910988566246050622948541112089940885";"490234157882176415136195144232595083038773208279662177759898560901519038323752482851694125";"594813483438926433516280162287954430350855036322973325957506984047505752796057225364770302";4624384;4624384;0
21;"957109054610842382258854245822388924006986397395927895715437127067929007650251685024716235";"907798542081392950976266442866624065094152346181481128400459883462515180217098923041227084";"163987053051113007665623701603900693479034544908662374947446326983606905642014304143275151";4624384;4624384;0
22;"908426575719200204357785375542472448890759658840450712051773969781442289762086900048478471";"450383665669135908476907219471012739386169731992033828509203249827789301204435913981856771";"859378450856186012132044769846434583974366714447110360731036095911863831782909323636370150";4624384;4624384;0
23;"718053168432296226304006030926871909995035183158833272245262440898801714214857851711840037";"356808335241187937039238137396700202871722686971470509830647255371569774204381957290270385";"282941617757963292069165516635951438886761223412546389419161130185324863854486326264693593";4624384;4624384;0
24;"678276970884272915729176263891290553760348742570912610407291293747101744931114750020409603";"893006707999479563497091706940583396783825798158825677827917358068574715214563462771042288";"372989438849429444178297844212837944679696835674440019106907150205279809957168886123060220";4624384;4624384;0
25;"1360886672848451444929690406385024707325261543151324117972654627667314305761122100404215";"542347692542073946818987952584896138640461308066411193923855175409488053225587597100661317";"697479714777666529500068381178217966004598577276039391503869598580637610494410807106338234";4624384;4624384;0
26;"687516636563057870804946719573048055872910477657380341173908051836417971047671736769927453";"505196686281430196579953706112962655668426379983500580681416925234094790411426629879383210";"464181098945971780230881657396531507213392264179267024584789864381384529576467333275591571";4624384;4624384;0
