experiment_number;blocks;avg_time_microseconds;avg_allocations;avg_deallocations;avg_peak_memory_bytes;avg_memory_leak
0;1;6;88;178;1247;-89
5;2;16;234;469;3283;-235
10;3;27;326;653;4581;-327
15;4;51;630;1261;10657;-631
20;5;68;819;1639;17128;-820
25;6;74;887;1776;22049;-888
30;7;91;1048;2097;30245;-1049
35;8;102;1115;2231;36588;-1116
40;9;129;1327;2655;48911;-1328
45;10;148;1597;3196;65351;-1598
50;11;164;1692;3385;75895;-1693
55;12;179;1767;3535;86364;-1768
60;13;203;2016;4034;106629;-2017
65;14;215;2138;4278;121590;-2139
70;15;442;2358;4717;143530;-2359
75;16;388;2449;4900;158835;-2450
80;17;394;2504;5010;172356;-2505
85;18;303;2770;5542;201909;-2771
90;19;344;2979;5960;229068;-2980
95;20;358;3122;6245;252485;-3123
100;21;377;3222;6446;273442;-3223
105;22;462;3466;6933;308113;-3467
110;23;435;3564;7129;330989;-3565
115;24;477;3806;7613;368722;-3807
120;25;491;3878;7757;391128;-3879
125;26;567;4036;8074;423294;-4037
130;27;548;4231;8464;460635;-4232
135;28;559;4273;8547;482249;-4274
140;29;600;4469;8939;522194;-4470
145;30;631;4662;9326;563511;-4663
150;31;706;4842;9686;604628;-4843
155;32;709;4939;9879;636461;-4940
